team,off_three_attempt_rate,off_two_make_rate,off_three_make_rate,off_reb_rate,off_turnover_rate,off_ft_attempt_rate,off_ft_make_rate,def_three_attempt_rate,def_two_make_rate,def_three_make_rate,def_reb_rate,def_turnover_rate,def_ft_attempt_rate,off_scoring_rate,def_scoring_rate,net_scoring_rate,off_pace,def_pace,total_pace,scoring_margin
OKC,24.88782590779037,50.35701912054179,35.52861144008359,29.78329315227387,16.888705167188945,26.500697186407233,79.94356254976654,21.77644081821788,45.1784731331505,34.64870020585711,69.97815688293466,15.125027872094837,23.255429831610787,108.23943426172133,101.30078281456687,6.938651447154456,96.99127455367042,91.4901283330235,94.15805317597251,6.533299119307079
SAS,25.420646793618346,50.32322526259845,38.03097739112803,27.597925852091155,14.620457250882376,22.513742753115125,74.64502899828918,21.14843421001817,47.59963784167,35.107824279136345,73.49181466441574,14.696297749569132,20.00141690718456,109.13709199385471,102.57766375580945,6.559428238045257,93.51546053551739,94.10944481855319,93.80919027913862,6.153346517051425
CHI,20.372292988259733,47.04351529032021,36.65707396329201,33.806025475487935,15.253452899372904,22.416799439636755,72.59892879980609,17.86435178838893,44.89634168940536,34.17664130684309,71.72090752948937,14.755915074527287,21.04692805304291,105.17338013192744,99.21225499236438,5.961125139563066,90.22414448726806,90.43397336625024,90.3268009726146,5.384493640541625
MIA,20.13054078825521,49.50874447220079,35.60582523826408,28.65046975115947,16.195409688612532,24.664784229460466,77.64402112498722,24.72722452863406,46.368784377067925,35.37327298869265,70.93333800552384,17.59301309400492,23.12875108144302,106.10622094168309,100.49450342884217,5.611717512840926,93.90689057461533,91.36519266930314,92.61635302462393,5.197368102437398
DEN,24.174271824637803,51.664612120225605,33.75588531833431,30.163175358640572,16.083439306279207,26.339216623169335,73.42219334820709,26.16575647692435,48.06250017293572,36.25823207633027,72.24030916266034,16.102414836822497,20.820091082659964,107.94568113261573,103.67458483617462,4.271096296441115,98.76732546433135,91.59097683273349,95.04149746040024,4.059313878113331
PHI,17.53560513264372,46.617479555765264,35.71749537646286,26.59771012842016,12.785053489978523,19.904153258818262,74.09015819184475,20.11813724652239,45.65834390799488,34.3395895430184,72.60764199241389,15.189098221371019,22.012075629951337,102.93584681957009,100.002047866261,2.9337989533090933,92.22527148369485,90.00837565217684,91.10113493601045,2.6727241432053797
BOS,19.544701684973106,48.234029294311476,36.054327439912164,23.433092465302494,16.03556835201588,20.760161323496686,76.90593189830378,21.29824723533238,45.60468849320686,33.51224248374809,70.56918638041417,16.805225266887803,23.516905282913058,101.53438472154788,99.22095409345502,2.31343062809286,92.95639873757389,90.0137767125549,91.45912789199375,2.115843476840003
ATL,25.01798296525936,48.043718578129294,36.343178777413996,26.38831111200977,15.089189951213273,21.702793706228004,74.05532067688341,21.555075081576163,47.50876464950964,34.70502884307255,72.00023506391588,16.10512185937675,21.404287612857654,104.03530221321174,101.7913596118525,2.2439426013592367,91.9357304069559,90.97099886008074,91.44858532821856,2.052053764520249
NYK,29.126067302563246,48.5351321057896,33.984701094756524,29.155246767434917,16.743805630273574,25.00909941623821,73.91488057122726,24.094859402824564,47.31228401021647,35.20664925035959,71.73699004286149,17.595579329633836,24.445455819214683,103.57754423091504,101.40306964797621,2.174474582938828,96.76279852749425,91.79522757778595,94.21123085243894,2.0485992691601083
MEM,15.715232249265668,47.077577553871286,33.541687684597925,31.668399050886308,15.849954203389158,24.08175154467769,75.76404480179778,23.152361875917542,47.12180622352597,34.70606037343616,70.63893952453316,18.031281217428415,24.031626443464088,102.75758458666205,100.66236533798951,2.095219248672535,92.24218853594257,91.3981525964756,91.81596214723591,1.9237457122627755
DAL,26.94272938412749,48.115051543297305,34.1797054688381,25.983626635793428,15.117210691768507,21.189260977910493,76.4904711155893,25.30611315307172,46.27500331333712,34.7601548443733,73.04703690352538,15.621493044080099,22.388940575071516,103.14163219506976,101.10983869883043,2.031793496239331,92.46589595325126,92.37364331325335,92.41746410139365,1.8777320250014347
