team,off_three_attempt_rate,off_two_make_rate,off_three_make_rate,off_reb_rate,off_turnover_rate,off_ft_attempt_rate,off_ft_make_rate,def_three_attempt_rate,def_two_make_rate,def_three_make_rate,def_reb_rate,def_turnover_rate,def_ft_attempt_rate,off_scoring_rate,def_scoring_rate,net_scoring_rate,off_pace,def_pace,total_pace,scoring_margin
MIN,13.692047132473695,47.42647631556531,35.682711002222035,28.71252421446735,14.276085447440328,23.116664600791083,77.47086459692618,17.623014959275647,43.18414897128268,34.24867032052106,70.52350813280067,15.087808542414535,24.408498128959057,104.36831689553347,98.02128309079004,6.3470338047434325,92.13952115401754,88.7562880838947,90.41426823064967,5.738624168910736
SAS,17.642649219871988,45.830980700791834,35.433527469185464,30.67877696515533,16.164621995967753,26.615647491680118,68.56551422085171,15.018129643261327,42.45326187692337,34.085383822166484,72.26739140006347,16.807639239423754,24.205442728811583,100.15150870233695,94.10818465557952,6.043324046757434,90.24944111347348,90.67749277721695,90.46094684368636,5.466848153528957
SAC,22.330587077515172,47.902072343479105,38.61666026680245,28.204953554578317,14.826620382938154,25.3859614129427,78.83843779872544,17.665478765356397,47.437251402059175,34.490213094962606,69.49138972915505,15.802919227471202,22.524747755161,107.83869492529794,102.80337018124925,5.035324744048694,97.29348361558264,91.64719332807104,94.38383622530313,4.752532659835083
DAL,20.352610874778613,48.59187261524838,34.83043429823785,32.28814207021637,13.268779166685633,23.1037839293947,78.72393702192811,21.501615158259973,48.15087371989387,35.3096635514145,70.00141832870636,15.900490270174616,24.242028415869612,109.28490126804525,104.58856719876368,4.696334069281562,97.9172500316273,91.81214444351382,94.76433464226139,4.450449733332511
IND,20.11810624123378,45.70341788260965,34.92573421575372,30.42801093056049,16.16667599458268,26.239555161222082,75.92649040262565,16.551937174412995,45.603822168768176,34.047462188279084,71.70317388007294,17.464296009406894,24.036266407291645,101.88112659122228,97.9079348785063,3.9731917127159875,86.44074941767204,91.38549939408637,88.84245547992403,3.5298810785017323
DET,15.338666963899318,45.155506043982555,34.46616051945739,31.58674811703169,16.803157826425476,26.753635156504235,75.12626096022093,18.423651708049594,44.27885661128562,33.17212238038277,69.89678728575397,17.51311802787628,23.152249760697597,100.0534771024985,96.50914353355166,3.54433356894684,89.51818606286679,89.82456318090831,89.66914553892693,3.178173626323985
LAL,16.79615623977839,47.751891432136404,33.38169361208077,29.96649820634855,14.864191943480689,29.16573711379743,69.68690793787047,18.760358769164963,46.16756982088811,34.280147024439586,71.43884288570601,16.205590633803393,24.645827933042654,103.52743027230822,100.53620160745164,2.9912286648565782,94.23683879594422,92.70898535771472,93.4645630332605,2.795738800933833
MEM,19.69372519769986,46.99253194603636,34.1965031009477,31.030350270313324,16.04690609885985,26.646494331371105,72.76607138163425,16.814203756050915,45.45997672717899,34.35535705565557,67.48284216472959,17.92250186243824,26.873619760390994,102.68535426743479,99.77146703007315,2.913887237361635,93.85858470184091,91.63685547928009,92.73236731781157,2.702116616177023
HOU,22.81875289931454,46.2670269086952,36.104807692852326,28.773870009345355,18.165914734193876,23.41462856434805,76.87048165897617,19.372449300514216,42.284379706320635,35.6090912119765,72.19801356918849,15.249038796018336,26.113926357698286,100.26216043065052,97.44547819703028,2.8166822336202415,86.78659463138627,91.22366841804052,88.94789921648214,2.5053796744090904
BKN,17.55613527879321,46.27642381830279,33.97078946113644,27.82219689084539,16.164791085754,24.212846208165782,74.9944213477153,18.825778894728803,44.91181639669269,34.845447984965304,71.92275693813912,17.403454640613226,23.90700883623574,100.03704904902105,97.61580934128679,2.4212397077342587,93.41807897527703,89.20798181460731,91.2624742230082,2.2096832641482167
OKC,29.607106377779395,47.49518180831802,36.72366285503361,28.972241083130108,15.779269095847923,23.177737283974135,75.87529292714986,21.552373175469697,47.32876831556217,34.78375297073284,67.56138205398292,16.12114283594012,25.62566977670867,105.46814696007539,104.43215780292967,1.0359891571457212,91.60555022270268,91.1382628963562,91.36926430900397,0.9465756712050964
