team,off_three_attempt_rate,off_two_make_rate,off_three_make_rate,off_reb_rate,off_turnover_rate,off_ft_attempt_rate,off_ft_make_rate,def_three_attempt_rate,def_two_make_rate,def_three_make_rate,def_reb_rate,def_turnover_rate,def_ft_attempt_rate,off_scoring_rate,def_scoring_rate,net_scoring_rate,off_pace,def_pace,total_pace,scoring_margin
GSW,35.91321204236929,52.222036078509106,40.41020056805462,25.60852201275996,14.91893631133184,21.31466819751887,75.87562262936908,26.60365927181003,47.48840544285062,34.472503182152984,73.73508782547437,14.307390080983318,23.256660826434135,113.42514597362961,103.89190688559768,9.533239088031934,105.49513789059857,95.54667815048766,100.27253904582956,9.559220886879107
SAS,22.127838000943612,51.11212860722745,36.90886482851407,25.00370427636299,13.92230979966875,21.093342932329133,79.6221468566229,24.2131527312296,47.326457578020054,34.43497259847082,75.87546927060333,15.408179423130356,20.491216314336892,109.40276082270128,100.65132913344874,8.751431689252541,91.94010241991302,97.51725328778933,94.64463043857653,8.282760180377544
OKC,27.318805857785968,51.939887797118466,34.96978948741087,32.65389240901499,15.933039614362032,24.578248335449704,77.89280940670076,27.009651454867996,47.557806037555814,34.82826157627809,73.42691968156211,13.454419485667648,23.389628248902785,111.08064198803676,105.32421714788155,5.756424840155205,99.57665101242773,95.83006846001825,97.66528403798567,5.622028670570744
CLE,35.32400680583287,51.07615774478019,36.08273743916924,27.628969206117755,14.364910492127986,22.38230376773998,74.53669322371758,28.216995507927617,48.896461864389664,35.11775722072281,75.51284278822334,14.174018088337895,23.626032857141677,109.92661783888067,105.56592677163816,4.360691067242513,91.88308817328469,96.24858798305762,94.01314467573619,4.099622801908608
TOR,28.874636907244255,48.45971090709021,36.6574694748126,27.79644430349326,13.993423505865731,27.070952914885936,77.24833726152428,28.860582749625085,47.557560264315335,36.30428369573596,74.64002247042815,14.28715407361609,23.036033719023777,109.13402464400758,105.07255136277487,4.061473281232708,89.86527893927239,97.14378294527033,93.36088907375228,3.791827564851755
LAC,32.182544828713205,50.85144287199659,36.17459166442706,22.58680590314544,13.524576101279775,25.66800618918571,69.21356351392663,27.421076804209637,47.295876147989404,34.61821148429136,71.6547850005947,15.495801833118888,24.359385618346042,107.60464974623991,103.75485111665961,3.849798629580306,97.19117530421458,96.06741671044807,96.62386577540914,3.7198242604692155
ATL,33.77347805441737,50.974029110467875,35.091366368571705,22.560578692196486,15.222277154113941,20.156555185730696,77.93209514880225,28.810657380804074,47.26404787248456,34.61636584149696,71.7375487100347,16.24650937426118,22.09085853090092,105.87387853135854,102.46026817196127,3.4136103593972678,100.73225714083364,95.24314822041124,97.90865929074103,3.342220136295711
BOS,29.377519249834773,48.35620973773735,33.846892418422065,27.614308710985213,13.90192619703991,23.212061297338355,78.35754121789005,27.691528793535948,48.2384424089274,34.53441427786053,72.3630120627015,16.202919121612997,25.117356111526924,106.35070064605966,103.91104878029935,2.439651865760311,103.71725606931247,95.67539700077467,99.53201729124915,2.4282347168748353
CHA,35.00772005495579,48.074410230626334,36.0687442380779,22.82063730746725,13.14329663466559,23.70547670944294,78.5230428472327,30.21487214826579,48.56820351668315,35.17857034592421,76.42651506731355,13.92824784175006,21.809943313290898,107.26389126894871,104.83522467364463,2.4286665953040796,95.20119265523088,97.43767252068643,96.30438021529199,2.338912312103427
MIA,22.16702243470938,50.67013645667695,34.11265575990052,26.301037067560852,14.791108146901191,23.924707870985426,74.70293462710116,25.27454048822555,47.67712139284124,35.086103348426676,74.26509410069806,13.8317847003888,22.10711216060561,106.57308421017018,104.34066040769116,2.232423802479019,92.33990808869217,96.34430803246235,94.29760797212552,2.1051222455380834
