team,off_three_attempt_rate,off_two_make_rate,off_three_make_rate,off_reb_rate,off_turnover_rate,off_ft_attempt_rate,off_ft_make_rate,def_three_attempt_rate,def_two_make_rate,def_three_make_rate,def_reb_rate,def_turnover_rate,def_ft_attempt_rate,off_scoring_rate,def_scoring_rate,net_scoring_rate,off_pace,def_pace,total_pace,scoring_margin
GSW,31.03652923324349,50.88282800389541,38.83163329547878,26.25293693405582,14.637928466684524,20.73229715294796,76.394385002163,24.977464750918337,46.058655314889286,34.47988477177299,72.07855469404558,16.121946249848193,23.615545892942183,110.54327180865297,100.80176397903891,9.741507829614065,105.73936099229991,93.38825366048476,99.17856273298722,9.661487453932647
LAC,32.51461601429838,51.527509283038654,37.062070755464745,25.87697426186013,13.202658420616398,25.21583338029329,71.02620172770592,28.95443253080216,48.16678007881322,34.960041751918446,73.21289596790325,14.881996171942363,25.453773287897068,111.18642874449544,105.24188510423376,5.944543640261685,97.82547880188318,92.91508627581095,95.3050778372445,5.665451943420367
SAS,26.95256662329032,50.24506273345575,36.28187024058816,26.01731005191058,14.616243837641274,21.85709330584543,77.59216166211704,22.792856389274416,46.93322813370987,35.376979907853546,74.34447538434688,14.880750082165308,22.007229829562526,107.94124108702934,102.02315322390932,5.9180878631200216,93.55367399975425,95.64148150864418,94.58401095232844,5.597564872621862
ATL,32.08107977145268,50.355054559867305,37.34884824690691,25.174826098113662,14.997284483026796,21.97320448989018,77.35844390339685,30.993608045520087,48.46995370433659,34.66825056914481,71.5309502004598,16.598806672427532,21.120264182867245,108.61083810948533,103.37144855651576,5.23938955296957,96.0260828793282,94.11880657739155,95.06086258110044,4.980608903036935
POR,31.51743164117126,49.020250336797716,35.903042297102054,26.81097639034023,14.239342917293559,20.134199269356788,79.30334567898657,22.209421955876284,46.88351493590219,34.4568579991349,74.06424186237443,13.048480536092633,21.438183643532653,107.47501974174851,103.26034129561054,4.214678446137967,93.70610253526135,96.01272396964802,94.84336793968168,3.9973429861450906
DAL,29.938506796155185,50.74123292960996,35.18273289809334,26.132633695723335,13.625071633731011,22.715483143518025,75.41872123935559,29.127000779122664,48.53025623284811,35.621635591225534,70.30422637714618,16.478317115061255,22.78119008211768,108.85922399208326,104.97635418605529,3.882869806027969,97.60259011200925,94.81159520696293,96.18476365544913,3.7347291459767984
CLE,33.32326237590173,50.274622975937675,36.36216774879309,29.401839013205862,15.145598708098767,24.32391553351418,75.14061456163569,27.333681175165253,49.710989440871884,34.743675755913515,72.6670082529102,14.284910653884712,21.245195123560272,109.59767362329825,106.5606581383712,3.0370154849270534,91.79900854436627,95.25612713871578,93.49366284338458,2.839417017979081
MEM,18.65348598441414,48.46602885040619,34.31295795197507,27.630304823450206,14.386478464421854,23.385150397366424,76.81199045396292,27.64429696940572,47.732979487867674,34.96565344941665,73.17183042998776,16.122495892259852,21.013619827079346,105.07853073084085,102.2230916596445,2.8554390711963578,91.61946950741167,94.1290588770634,92.85535048025598,2.651427957309544
HOU,39.347542112504996,50.305073915289356,34.807826296566255,28.98714257505685,16.763459365292952,25.54859976220442,71.56960785223147,27.320918487687173,48.63221757293952,33.6727036667924,70.63198626347459,16.591793155736454,23.445849716482794,106.14326563011755,103.49223150857433,2.651034121543219,99.06941403173283,95.51856454349225,97.25947063518193,2.57838175297098
CHI,26.617380109690398,47.39608564578656,35.25047989161098,29.317724186808576,14.686666691125192,25.740718053625162,78.10721580392797,22.85058619887286,46.70949351383374,34.3988261699622,72.23478532354824,13.163257240211296,22.02467729849698,106.47448534059605,103.92756958209608,2.5469157584999635,92.98864112212654,95.01794563307247,93.99034549778492,2.393854920951645
TOR,30.026459798760346,49.82234477161902,35.16921001613417,28.34850672796008,13.838752030690562,25.28596886101756,78.46270422361047,26.94882131768685,50.08410904414623,34.88747930599642,70.59186324040283,15.179912660405591,24.413050946842453,109.95261377341919,107.67681059202046,2.2758031813987287,91.77382259081142,95.56148066559933,93.62737472539044,2.1307747726605446
OKC,26.455749828178117,48.525232690704826,34.178119352962064,30.660720506822,15.040297209690614,24.37894951878997,75.39882387218083,28.26990509683176,47.822023001059804,34.64554376484954,73.53708973511972,14.151284170057785,23.983086352138688,106.21487289293958,104.85166338700725,1.363209505932332,98.66353272089155,94.77186299105429,96.67648622706227,1.3179030502486746
WAS,20.31578496497558,48.73289733644952,35.69729313436818,27.223840812083612,15.596257792513457,22.116330158709893,74.26038039601981,27.246286523511674,46.90560984974931,34.9785408057726,73.61522072564145,14.644329472963271,24.242019444783768,103.86737017949284,103.43764531280115,0.42972486669168575,95.04814028881209,94.00489257598083,94.52161521718823,0.40618288498689026
NOP,23.30366442771903,48.37656517696104,36.51276307498562,29.390719174782788,14.307540579520186,23.00269584592892,74.85809621662696,23.569695181778194,49.145964987380445,34.37386049255311,72.83260002631373,13.435981390393739,22.47682385153982,106.92229273074012,106.51851404364263,0.40377868709749976,90.62416144036183,93.97473901196433,92.26705554062696,0.37255470548546443
PHX,29.166941572170607,49.54897677359724,34.31239585583021,26.402867352670263,15.364375848055678,21.57741660741583,75.86892634648356,25.76938157846738,48.5182300745296,35.00259167658963,71.57275330403043,15.794306786942633,23.94109796361924,104.89824106566464,104.67889970366866,0.21934136199597276,99.065702121882,94.85268442192019,96.91130683208296,0.21256658033358697
