team,off_three_attempt_rate,off_two_make_rate,off_three_make_rate,off_reb_rate,off_turnover_rate,off_ft_attempt_rate,off_ft_make_rate,def_three_attempt_rate,def_two_make_rate,def_three_make_rate,def_reb_rate,def_turnover_rate,def_ft_attempt_rate,off_scoring_rate,def_scoring_rate,net_scoring_rate,off_pace,def_pace,total_pace,scoring_margin
PHX,29.23383918292825,50.88173586720972,39.01073241130816,24.607723151490333,13.750647659020403,19.522009886646156,79.48864734453878,20.334731051513007,47.744502707204994,36.074915351280204,70.50422410518655,15.145620772387536,24.117725932665994,110.97864068821404,104.76838307947231,6.210257608741728,104.05106081534315,90.82524153667697,96.98718799382713,6.023154221891293
SAS,21.21782475667276,49.39239397888465,37.67218619542162,27.649196585316815,15.252112815669925,25.09712769288549,70.15503105445138,14.091815280864067,45.15849136791418,35.33066733995882,72.07710355264985,15.410975305162356,25.547391427332055,105.9827612487232,99.6617344596506,6.32102678907259,87.90631590232027,91.5753227276491,89.70140711316628,5.6700499737983066
DAL,17.39585967022627,48.17652960312188,36.83338025711493,32.606479082162856,15.114500276575619,30.42250300600499,77.83980121014342,17.708003299293534,46.24384245642831,35.906262754679986,70.11915708835336,15.552389230055466,28.42450185235818,108.99743071663926,103.19832539926004,5.799105317379215,87.65119774256173,91.3366260878055,89.45405428685339,5.187534818760205
DET,21.917880716896512,47.379995931733085,37.67017315916399,30.46216517151994,13.195883872745432,25.574078652197286,72.18751731602569,15.857534280783609,47.605234830406395,34.826499627726626,69.83695137974193,15.591772105710398,22.829369498963732,107.73679862250536,102.97448316029323,4.762315462212129,85.26478609461097,91.00284144679237,88.03859079798482,4.192675422286096
MIA,22.723030838910105,51.03161772110002,34.89142659135403,28.256042408284298,15.446902656656667,29.145525309251102,70.27098076841516,20.92086202834238,46.40685962822418,35.88285948327842,74.08673230618975,14.183356681719111,27.67188407967093,107.41534006978772,103.53801814556141,3.877321924226308,92.7594389639156,92.55264021341058,92.65396097936443,3.5924923427169855
MEM,25.786192727380218,47.5773362230989,36.912664368395205,28.346727760877922,15.70554402194038,27.7261831958923,71.34101166820865,20.169105723109393,46.29498929005894,34.997208994538425,70.6327125153775,16.594133681222523,26.437218962359726,104.75677001307233,101.40799915738468,3.348770855687647,83.94312914528567,91.58168301562903,87.59438793683793,2.933335334446805
LAL,24.059427118159824,48.62448522775489,35.116514009942975,29.887913812582905,15.056581496638554,27.94177095163014,74.26529818695764,20.58029980665679,47.50428549829898,35.626903337068775,71.35965242767104,15.218755244207108,26.928724237675915,106.85363065972366,104.51967165631417,2.3339590034094897,92.94664282585178,92.00892782949575,92.47345907134721,2.158292623759898
SAC,21.559979128016764,48.371250769793924,35.28230978033701,27.59578533815767,15.557133941673346,27.33388158244446,78.16239628014375,19.521612914024573,47.87464159318958,35.56172235890196,70.92348270088644,15.563364623489628,24.410170938186035,105.85448681219827,104.01587743426602,1.8386093779322579,94.06569039337397,92.59207064397125,93.3210690749006,1.7158099275977627
LAC,13.150897633092065,48.276970028430235,34.990051445588485,27.245992062847662,15.388931447959159,27.142689560519734,78.74196309882377,20.02459726877734,45.95148175819882,35.39599388946584,73.28924981492145,14.01338011415541,27.76204337352228,104.91318639506983,103.12514794638442,1.7880384486854126,94.49834669412341,91.6181702422699,93.03398513387567,1.663483424537968
CHI,22.05396618029957,46.37237136204334,37.321122347999236,28.97437590755701,15.670490326973619,25.10935206916113,73.86627507310489,21.87988289071024,45.03564917363249,35.501473242549885,72.06905319679166,15.747953552098808,29.93066169803335,103.34561187640665,101.61379851004939,1.7318133663572581,98.65154523022305,89.66288225111408,93.94064002407947,1.6268765603785644
CLE,22.865001169941387,48.609636841556956,34.470654467345476,29.669171137630297,15.145995211069504,29.300403718857115,72.92385542408374,20.02461187712942,47.98016089123544,35.699227619928,73.10524465295416,14.518812778916859,25.71565054467707,106.0981819037963,104.81287130666324,1.285310597133062,88.76037785857525,93.05826710505535,90.85659797307937,1.167789481942572
IND,24.304353928371995,47.26877229141257,35.12524745654109,28.967503182872516,16.503530039358807,27.558262764783017,73.35853347455638,16.905143146721308,45.68442038505478,35.25688672061857,71.08971430154504,14.981102260034332,26.67030310646749,103.0603716529199,101.87542734734521,1.1849443055746889,89.85128564652518,91.98388691166706,90.9031450184621,1.0771516404845682
BKN,22.970318047414988,47.066129007928794,33.7573107803466,26.395142071700167,14.95861598056895,27.992672903905607,75.81674100066465,21.524299636104217,46.52616412851358,35.38034116470153,74.01925940842196,15.596414888554625,28.349780815856146,103.32701306763428,102.25858933572829,1.0684237319059946,90.68036625095631,91.59846951262034,91.1351599842555,0.9737096773822812
WAS,20.99938499358666,47.08931440697944,35.75638604399807,31.419706827426353,14.891884383343982,30.48954980655995,75.44497842894759,21.4056889063448,49.12741478016855,35.999419927077845,69.45566358509029,16.802017232322513,27.975270607628204,106.77678995348504,105.99911902051038,0.7776709329746581,95.27753047419218,91.8504594343873,93.53055655779228,0.7273599517993735
DEN,16.286448101911294,48.79993524719787,33.65430764675732,28.358967589553618,15.518823706411133,28.195914876021398,74.23899604924809,21.671164392211672,48.04144990716395,35.77179214613832,69.89068163397462,16.60849966410091,25.892785417290053,104.69207731749638,104.21509425856507,0.4769830589313102,100.11594672610137,90.71180954377986,95.18007869565679,0.45399285085577207
HOU,22.762438352963553,46.47541382875482,33.960569972211005,27.64193990888677,16.081861268674118,26.527356132444446,75.52805927002302,23.19207175416434,44.98172691005132,36.24692561749131,72.09573807816587,14.992115765135546,28.00157680540704,101.57833919464771,102.44166068838574,-0.8633214937380274,89.37920969542658,89.21900894998655,89.29718850861455,-0.7709218216986332
MIN,14.866323690911166,47.818244152941965,34.00953522774502,27.809380414432006,15.963122832518021,25.18250342586098,75.50551780041008,18.89120039805386,46.01671114393983,36.042532534903934,69.28968853774253,15.392396171869125,27.250216782524923,102.36534275802948,103.37852445157212,-1.0131816935426343,89.37011915975377,90.45144671232019,89.90564540973757,-0.9109075407528148
