team,off_three_attempt_rate,off_two_make_rate,off_three_make_rate,off_reb_rate,off_turnover_rate,off_ft_attempt_rate,off_ft_make_rate,def_three_attempt_rate,def_two_make_rate,def_three_make_rate,def_reb_rate,def_turnover_rate,def_ft_attempt_rate,off_scoring_rate,def_scoring_rate,net_scoring_rate,off_pace,def_pace,total_pace,scoring_margin
SAS,17.564557638226066,46.98992192305684,38.85085982742609,28.717460260556088,15.311590061761457,29.795894847807926,71.68340763322479,15.39928064911933,43.62679302119821,34.601979612513375,71.32351292567208,14.929263015462368,22.11497990568464,104.65836095885363,97.46092777220822,7.197433186645412,89.82040335827811,92.22964666269908,91.0071050495273,6.55017558103993
SAC,19.53564885470679,47.069274011043845,35.42045172631884,29.443940662253326,15.420049607416853,24.7636729667298,76.32178232340553,15.899176307374804,44.66459123824558,35.35034096307229,69.4914888118647,16.5908899767079,21.492050279150867,103.82601076516471,98.11749860746583,5.708512157698877,99.06296309809608,92.69742211445778,95.77231639767164,5.467174325270921
POR,16.675672911571485,48.79647121346742,35.1178469188708,31.402822176161173,16.767976815964715,24.672840300699374,75.88895199583105,17.013982914435726,45.270540380497614,35.73812855747047,71.1167677339062,16.339240573073617,24.511907076735437,104.71699432214949,99.61545091368627,5.101543408463215,90.3224735668235,90.694984268385,90.50637689915908,4.617222104937924
MIL,21.782415514913993,47.69742351248883,37.21017116485126,29.086875702558068,14.68070677759534,23.523741306692045,78.14914140055143,19.069046954487266,46.281002839949,35.34473023819722,69.82756200027404,16.279341606844905,26.58173924933365,106.60227277542404,102.12036865118534,4.481904124238696,96.54641836168474,91.83631034105993,94.1303910343047,4.218833877928514
DAL,20.398631125691768,47.71407346773779,37.302162458801575,26.460255810539284,14.879345135901985,24.153467956787235,78.43123766858659,17.107787933734013,45.890186189966606,34.70331698889114,69.35594956278905,16.27903898695878,27.314171970005535,105.36031485151408,101.46197069284351,3.898344158670568,94.66985136806443,94.29834119828995,94.48164214800192,3.6832195776926624
UTA,13.807633926860868,48.23877951013816,37.033771208155954,31.523759599005835,17.18811794422078,28.433655866343805,74.59254468578364,19.299556924280363,46.115293402636084,34.995930965111526,71.48879390410016,17.408347943278624,30.067521838972112,104.46983000426206,100.85980073110916,3.610029273152904,89.87396300982469,92.63734845011783,91.23270652857282,3.2935274123711595
LAL,19.25506096610888,48.981127983294584,34.75148434356946,32.079141495539254,15.401451451174482,29.48632178658897,68.52273143899768,17.194236338220804,45.50109363371567,35.316014678611985,70.49675953905978,14.244229981432408,26.733657392272487,105.78420496729346,102.7633295704282,3.0208753968652644,91.95124751675924,93.82462072759489,92.87638853971147,2.805679970893134
PHI,12.3630197232315,46.326496001445996,33.745315112366534,32.48857171331623,16.706702665921796,28.201371105044615,74.37092738167237,18.37838840280964,45.206934521798274,34.91608378986608,70.94135121012698,16.417207894825097,21.54232582634866,101.58683895381783,98.62313502488347,2.9637039289343647,92.16359433224578,92.86124340116318,92.50907261330596,2.741695019661293
PHX,15.669750454937143,45.79221023158871,32.88387447294444,29.24384946803771,16.157066191596435,24.761166225312753,75.42784455422363,14.533266743769657,44.831204265066965,35.16788358595476,71.429897713766,18.075145239447018,26.12382306683209,99.62250175928992,96.97867256955787,2.6438291897320454,96.09604491339711,93.08691160301787,94.56542005413478,2.500148178783937
HOU,21.804913214020516,47.81554366752461,35.63128358468355,29.015814967580926,15.895375732510766,26.1065345722369,75.36920534050601,15.333906586400092,46.34737585432684,35.36175131849044,70.54663151820921,14.662835069791235,23.854060758249755,104.53708038667988,102.42785612370953,2.1092242629703435,88.13987736099797,95.36229831059458,91.60698499439445,1.9321967540773697
