team,off_three_attempt_rate,off_two_make_rate,off_three_make_rate,off_reb_rate,off_turnover_rate,off_ft_attempt_rate,off_ft_make_rate,def_three_attempt_rate,def_two_make_rate,def_three_make_rate,def_reb_rate,def_turnover_rate,def_ft_attempt_rate,off_scoring_rate,def_scoring_rate,net_scoring_rate,off_pace,def_pace,total_pace,scoring_margin
SAS,25.752039655626312,51.31116621006957,38.8464589113773,25.486436719311182,15.057316066117362,20.749639003970113,78.07241547563056,21.623669114121025,46.99884733512894,35.67141577101492,73.99652579464416,14.509919246040331,21.252060178317283,109.76259301314151,102.55130597980937,7.211287033332141,96.3660504845133,95.2980330188508,95.82701112441039,6.910360827644355
LAC,29.16895428131142,52.00953550408987,35.427750888934824,27.631718846793333,14.470492027118699,28.468654737329857,72.92752383573631,25.65213716754261,47.919692060185625,34.694881510473664,70.82582470306565,15.730326381926343,24.66555532470197,110.65912199597676,104.46752153708168,6.191600458895081,100.97592630189793,92.22298456879099,96.39907806546533,5.968645759871979
OKC,27.544156294054584,50.86324341771349,36.13205307186002,28.536894946003287,15.818453185884065,25.10216129138651,80.00353077812512,28.459514117389702,46.89215626426941,35.867900562658036,73.02371475539131,15.674197107261662,24.621137655463247,109.73596791683215,103.55602999263407,6.179937924198086,99.55960432570166,93.23605071071314,96.29202278643572,5.9507872341564045
MIA,29.128365354617824,54.92310171364478,36.254227445126425,23.562283597374176,15.797464338652107,23.88274663232897,75.68271002309443,29.61143330036719,49.99443016538563,36.10032761800555,70.66774371622877,17.597536929045905,23.52871961412359,110.94830103128021,105.80617736977113,5.142123661509075,92.73359418539722,92.11786494264136,92.42277197316317,4.752493226254601
HOU,33.229277621213164,52.364990925490815,35.81170353141914,29.12379164457817,16.32107556045462,30.271532259275673,71.2993227947225,26.366954002175007,47.60549064782517,35.58135643820117,71.50424390467589,14.500194384629895,22.298359857825563,109.88268672989085,105.22502545761799,4.657661272272861,100.41299352018383,93.96649961644991,97.08068063430787,4.521689264763057
GSW,29.281861035417446,49.38743047419729,37.5639452620325,27.047769940358247,15.591903612838736,21.310693800246707,75.00384014611994,24.019394893005142,46.648992002327766,35.23104275277266,73.51447139156564,15.386436729063528,24.126233920530833,106.82905746769435,102.24197405705273,4.587083410641625,100.8507806698958,93.8195690767982,97.20603960628864,4.458922116921794
POR,29.042504624636667,48.20518082537982,36.95309658238373,30.537645740518514,14.326781180047254,23.524898783237973,80.87387222957388,21.129767546059657,47.53952441463393,35.73792834723996,72.53036864564153,12.756853300419243,22.374835874922724,109.89435361750654,105.98506774535143,3.9092858721551096,94.57441208718991,96.67646230671514,95.6118263497985,3.7377396196021495
IND,23.231864762830117,47.565776944857106,35.68165140624671,27.831480574324473,15.92304313254506,24.056642533896383,77.53780624834059,23.19591043674889,44.889913815333635,35.42423958555971,73.42207990841952,14.680871162269248,22.73226706300147,103.95024863251439,100.52212935339769,3.4281192791167,91.1482899860804,95.34229419041564,93.1962134022616,3.194877359049672
DAL,27.72373720009977,50.643718432180684,37.89033537446482,26.341712129155294,14.386553276877292,21.814320200820823,78.95057494550642,28.214124172217414,50.23084973380183,35.920033629729865,71.22110474159946,16.499172731162812,24.62850211585708,110.24442454558215,107.05267945833332,3.191745087248833,94.03080562296235,95.3374016955855,94.67756090030673,3.0218663987625622
PHX,30.24507672427617,50.118076920511,36.977554829025784,28.334300746959233,15.835696053754564,24.365660161085966,75.7220953633064,24.118764414596537,49.05920184132372,35.153277269483155,71.45410431718524,15.73555654564312,25.396842679266047,108.45715887480074,105.81064641456328,2.64651246023746,97.65205765260191,95.53051030495662,96.57749717560554,2.5559354965378818
