team,off_three_attempt_rate,off_two_make_rate,off_three_make_rate,off_reb_rate,off_turnover_rate,off_ft_attempt_rate,off_ft_make_rate,def_three_attempt_rate,def_two_make_rate,def_three_make_rate,def_reb_rate,def_turnover_rate,def_ft_attempt_rate,off_scoring_rate,def_scoring_rate,net_scoring_rate,off_pace,def_pace,total_pace,scoring_margin
MIL,41.996929374629964,55.71192054369707,35.263183976209646,23.58135284947325,13.363336126478275,21.739813734756737,77.11033461464982,38.79699152922743,48.749908607698956,35.84537707349406,76.94955556642219,12.909839493995223,19.702889398447677,113.60292955378995,107.0258964031518,6.577033150638144,106.03655174952745,101.20667524169004,103.56302308727344,6.811374360253009
GSW,38.38243586913081,55.151835422264575,37.97072025842856,24.56527809063342,13.882392127061113,19.67467941924276,79.62731278699269,36.964452531581635,50.28590959136624,35.13056827502533,74.35928755355211,13.253004485970651,22.62993050872386,115.523233315837,109.26362047793322,6.259612837903788,106.81721508513789,97.10428487625622,101.72713575566499,6.36772484939342
TOR,37.87280785187105,53.578698282537964,36.390863842118456,24.78932606858053,13.880797164281075,21.22370025083471,79.96846961535316,34.84236857333494,50.872842799519425,35.03756238609111,73.95583046862077,14.612836234431917,21.375998770262616,113.04676258636599,107.99652885425799,5.050233732107998,101.66217992048689,99.61341986950997,100.62512831364978,5.081804173072897
UTA,39.186425449226526,53.74288649583063,35.57302944656571,25.688792152966318,14.7225176887436,24.17997726174702,73.8148954395936,31.7781879875865,49.81388497648306,35.520153710000855,77.15422974845431,13.745632882942676,21.406119585765232,111.21580420123654,106.58640304635955,4.629401154876987,100.9228243533719,101.38703949729918,101.15219740316338,4.682740994765496
BOS,38.21028922612633,52.45664386901628,36.28680001640954,24.491592396605416,12.890351826674367,19.280771005601295,79.54055835845743,37.89009477328342,51.59251641525036,34.92779604589356,74.37480898937167,14.774901396706158,22.110460465095148,112.261620023645,108.59694263091153,3.6646773927334664,103.10930268210369,98.21341260333696,100.59957792050373,3.686649989237988
HOU,51.72634581910206,54.6889055714268,35.53282654637847,25.239153697293748,13.52329825285282,23.700160578866083,78.49402126432199,35.173451254799126,53.017878995196355,34.730119405578485,71.77445869237616,14.988546634682365,23.224797465865564,114.46090125108037,110.8842081302497,3.5766931208306687,97.57586452504913,99.05843940761564,98.30942630527967,3.516226487789034
POR,33.89175007029899,52.281607737905446,35.80411301229394,29.0577580529655,13.684208280489349,22.422478398380786,80.80612561624181,33.36818255513296,50.55968495416656,35.73377374422798,75.11897391144944,12.452419956231148,22.04460889039252,113.65722373737874,110.1782779006648,3.4789458367139474,97.13749549147283,102.47356946347143,99.73200944225373,3.4696225903624467
IND,29.26113390493454,51.5507477894629,36.974143413257124,25.44443732986556,13.953648301926258,20.899614842671728,74.99367357171838,36.89256502048167,51.00981513348973,35.511263537435916,73.63947980307678,15.593390741695085,21.064623101731332,109.82834906960748,107.66122231464932,2.1671267549581614,98.70054245338608,98.32191876386952,98.50876023231498,2.1348096989720835
OKC,34.82105702092408,51.07164622452284,34.96753257055983,28.0687100059963,13.49324250639764,23.049550928641622,71.66484838645847,35.6591309809941,51.638877884663614,35.55186280760642,75.27961917407632,15.769375092099914,22.207179200094725,109.59078588951074,107.60335475299696,1.9874311365137771,110.20275573272535,97.29647720446097,103.34593058711732,2.053929202808285
DEN,34.98795197086238,52.66852320426029,35.136045042673096,28.85206495474716,13.654113572938867,20.64722125500687,75.50877203126662,37.037285538151785,52.65545625629733,34.60463013620681,75.5994245830833,13.72779043883297,21.85817945625256,111.93174300924282,109.86991301465183,2.061829994590994,97.7687912239869,98.67539034013254,98.21782857550627,2.025084649605753
PHI,34.091384745106964,52.68603571825792,35.829050683790115,26.553676375603047,14.335731135886377,25.817618006988823,76.94747992132311,32.86419274754615,51.37694406891286,34.84390341493187,75.63190892607045,12.545956985042874,23.456892415132582,112.15039764742633,110.2940123213191,1.8563853261072296,103.43229922806701,101.74637812780814,102.5800461831515,1.9042809248580437
SAS,28.67994880189027,51.41766092697466,38.43168392540584,23.250884579957017,12.326637819953689,20.57916308435773,81.26757157833974,36.17455078833805,52.11496294196236,35.79637128830544,76.08216390736379,12.378136626158915,19.890950920887885,112.7145269407388,111.18493510017467,1.5295918405641373,97.28328397861952,100.4277954321038,98.82838338010546,1.511670888343537
